Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Portman,Strickland,Difference,Other,Pollster URL,Source URL,Partisan,Affiliation
PPP (D-MoveOn),2016-06-08,2016-06-09,2016-06-13T21:56:06Z,761,Registered Voters,Automated Phone,42,46,-4,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-moveon-24666,https://www.scribd.com/doc/315391783/MoveOn-OH-Senate-Survey-Results,Sponsor,Dem
Quinnipiac,2016-04-27,2016-05-08,2016-05-11T14:41:00Z,1042,Registered Voters,Live Phone,43,42,1,1,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24472,https://www.qu.edu/images/polling/ps/ps05112016_S28whtr.pdf,Nonpartisan,None
PPP (D),2016-04-26,2016-04-27,2016-05-02T14:10:27Z,799,Registered Voters,IVR/Online,38,38,0,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24417,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_50216.pdf,Pollster,Dem
PPP (D),2016-03-04,2016-03-06,2016-03-10T20:38:57Z,1248,Registered Voters,Automated Phone,41,40,1,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24043,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,Pollster,Dem
Quinnipiac,2016-02-16,2016-02-20,2016-02-24T16:23:25Z,1539,Registered Voters,Live Phone,44,42,2,0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23851,http://www.quinnipiac.edu/images/polling/oh/oh02232016_Osm46vb.pdf,Nonpartisan,None
Baldwin Wallace University,2016-02-11,2016-02-20,2016-02-25T22:10:36Z,825,Likely Voters,Internet,40,44,-4,,http://elections.huffingtonpost.com/pollster/polls/baldwin-wallace-university-23879,http://www.bw.edu/Assets/stories/2016/ToplineReport_Ohio%20Election%20Poll_Feb24-FINALx.pdf,Nonpartisan,None
GQR (D)/Democracy Corps/WVWV/Voter Participation Center,2015-10-24,2015-10-28,2015-11-09T21:56:57Z,400,Likely Voters,Live Phone,47,47,0,,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-wvwv-voter-participation-center-23094,http://www.democracycorps.com/attachments/article/1014/Dcorps_WV_BG_11.9.15_final.pdf,Pollster,Dem
Quinnipiac,2015-09-25,2015-10-05,2015-10-08T15:19:47Z,1180,Registered Voters,Live Phone,46,43,3,1,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22875,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2288,Nonpartisan,None
Harstad (D-Senate Majority PAC),2015-09-10,2015-09-16,2015-10-06T19:35:28Z,813,Likely Voters,Live Phone,46,43,3,,http://elections.huffingtonpost.com/pollster/polls/harstad-d-senate-majority-pac-22857,http://b.3cdn.net/maj2012/c5e964771a7489093e_i3m6bn3zb.pdf,Sponsor,Dem
Quinnipiac,2015-08-07,2015-08-18,2015-08-27T19:04:16Z,1096,Registered Voters,Live Phone,44,41,3,1,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22616,http://www.quinnipiac.edu/images/polling/ps/soh08252015_trendscrosstabs_Srb42m.pdf,Nonpartisan,None
Quinnipiac,2015-06-04,2015-06-15,2015-06-23T00:52:58Z,1191,Registered Voters,Live Phone,46,40,6,1,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22286,http://www.quinnipiac.edu/images/polling/ps/soh06222015_trendscrosstabs_Sp52rg.pdf,Nonpartisan,None
PPP (D),2015-06-04,2015-06-07,2015-06-09T20:59:53Z,859,Likely Voters,Automated Phone,41,43,-2,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22232,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_60915.pdf,Pollster,Dem
Vox Populi (R),2015-06-06,2015-06-07,2015-10-13T18:42:14Z,474,Likely Voters,IVR/Online,37,47,-10,,http://elections.huffingtonpost.com/pollster/polls/vox-populi-r-22906,http://dailycaller.com/2015/06/10/poll-sen-rob-portman-holds-lead-in-competitive-ohio-senate-race/,Pollster,Rep
Quinnipiac,2015-03-17,2015-03-28,2015-04-06T20:22:31Z,1077,Registered Voters,Live Phone,49,39,10,0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21977,http://www.quinnipiac.edu/images/polling/sw/soh04062015_trendscrosstabs_Spg72ho.pdf,Nonpartisan,None
PPP (D),2015-03-02,2015-03-03,2015-03-06T22:36:05Z,946,Likely Voters,Automated Phone,45,45,0,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21827,http://www.publicpolicypolling.com/main/2015/01/OhioResults1.pdf,Pollster,Dem
