Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,McCain,Kirkpatrick,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
NBC/WSJ/Marist,2016-09-06,2016-09-08,2016-09-11T11:53:12Z,649,Likely Voters,Live Phone,57.0,38.0,-19.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25445,http://www.nbcnews.com/politics/2016-election/clinton-trump-deadlocked-battleground-states-polls-n646216,Nonpartisan,None,"If November's election for U.S. Senate in Arizona were held today, whom would you support if the candidates are [including those who are undecided yet leaning toward a candidate]",1
PPP (D-NELP) ,2016-08-26,2016-08-28,2016-09-01T15:12:22Z,837,Likely Voters,IVR/Online,43.0,43.0,0.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-nelp-25314,http://nelpaction.org/wp-content/uploads/2016/08/AZResults1.pdf,Sponsor,Dem,"The candidates for U.S. Senate are Democrat Ann Kirkpatrick and Republican John McCain. If the election were today, who would you vote for?",1
CNN,2016-08-18,2016-08-23,2016-08-24T20:41:13Z,809,Likely Voters,Live Phone,52.0,39.0,-13.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25252,http://www.cnn.com/2016/08/24/politics/arizona-north-carolina-polls-trump-clinton/index.html,Nonpartisan,None,"If the election for U.S. Senate were held today and the candidates were Ann Kirkpatrick, the Democrat and John McCain, the Republican, who would you be more likely to vote for ---? ",1
PPP (D-Americans United for Change/Constitutional Responsibility Project) ,2016-06-22,2016-06-23,2016-06-28T03:16:05Z,691,Likely Voters,IVR/Online,42.0,40.0,-2.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-constitutional-responsibility-project-24785,http://www.americansunitedforchange.org/page/-/SupremeCourtMemo62816.pdf,Sponsor,Dem,,1
GQR (D-Democracy Corps/Women's Voices Women Vote),2016-06-11,2016-06-20,2016-07-09T02:01:35Z,300,Likely Voters,Live Phone,44.0,42.0,-2.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24841,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Dem,,1
Behavior Research Center,2016-06-06,2016-06-19,2016-06-22T21:10:40Z,448,Registered Voters,Live Phone,40.0,31.0,-9.0,http://elections.huffingtonpost.com/pollster/polls/behavior-research-center-24745,http://www.brcpolls.com/16/RMP%202016-III-01.pdf,Nonpartisan,None,,1
PPP (D-MoveOn),2016-06-08,2016-06-09,2016-06-13T21:13:48Z,747,Likely Voters,Automated Phone,41.0,43.0,2.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-moveon-24662,https://www.scribd.com/doc/315391863/MoveOn-AZ-Survey-Results,Sponsor,Dem,,1
PPP (D),2016-05-13,2016-05-15,2016-05-17T19:31:52Z,896,Likely Voters,IVR/Online,42.0,36.0,-6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24504,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,Pollster,Dem,,1
Behavior Research Center,2016-04-04,2016-04-11,2016-04-15T13:59:46Z,564,Registered Voters,Live Phone,42.0,42.0,0.0,http://elections.huffingtonpost.com/pollster/polls/behavior-research-center-24284,http://www.realclearpolitics.com/docs/2016/RMP_AZ_Senate_April_2016.pdf,Nonpartisan,None,,1
Merrill/WestGroup,2016-03-07,2016-03-11,2016-03-17T20:20:01Z,701,Likely Voters,Live Phone,41.0,40.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/merrill-westgroup-24105,http://big.assets.huffingtonpost.com/MerillPollGeneralPR.pdf,Nonpartisan,None,,1
Behavior Research Center,2016-01-07,2016-01-17,2016-02-03T15:45:56Z,590,Registered Voters,Live Phone,38.0,37.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/behavior-research-center-23657,http://www.brcpolls.com/16/RMP%202016-I-01.pdf,Nonpartisan,None,,1
Strategies 360,2015-12-04,2015-12-09,2015-12-16T23:14:13Z,504,Likely Voters,Live Phone,51.0,36.0,-15.0,http://elections.huffingtonpost.com/pollster/polls/strategies-360-23359,http://www.strategies360.com/wp-content/uploads/2015/12/15-340-AZ-Public-Poll-Toplines.pdf,Nonpartisan,None,,1
Behavior Research Center,2015-10-24,2015-11-05,2015-11-19T18:15:54Z,577,Registered Voters,Live Phone,37.0,31.0,-6.0,http://elections.huffingtonpost.com/pollster/polls/behavior-research-center-23181,http://www.brcpolls.com/15/RMP%202015-IV-03.pdf,Nonpartisan,None,,1
Gravis Marketing/OANN,2015-08-13,2015-08-16,2015-08-22T00:24:39Z,1433,Registered Voters,Automated Phone,48.0,35.0,-13.0,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-oann-22593,http://www.oann.com/pollaz/,Sponsor,Rep,,1
PPP (D),2015-05-01,2015-05-03,2015-05-05T22:54:30Z,600,Likely Voters,IVR/Online,42.0,36.0,-6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22099,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_50515.pdf,Pollster,Dem,,1
