Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Heck,Cortez,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Monmouth University,2016-09-11,2016-09-13,2016-09-14T17:04:22Z,406,Likely Voters,Live Phone,46.0,43.0,4.0,-3.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25488,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_NV_091416/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Joe Heck the Republican, Catherine Cortez Masto the Democrat, or Tom Jones of the Independent American Party – or would you choose the option for none of these candidates?",1
NBC/WSJ/Marist,2016-09-06,2016-09-08,2016-09-11T11:42:32Z,627,Likely Voters,Live Phone,47.0,45.0,1.0,-2.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25443,http://www.nbcnews.com/politics/2016-election/clinton-trump-deadlocked-battleground-states-polls-n646216,Nonpartisan,None,"If November's election for U.S. Senate in Nevada were held today, whom would you support if the candidates are [including those who are undecided yet leaning toward a candidate]:",1
PPP (D)/PNA,2016-09-06,2016-09-07,2016-09-12T21:54:04Z,815,Likely Voters,IVR/Online,41.0,42.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-pna-25465,https://www.scribd.com/document/323773529/NVResults912-1,Pollster,Dem,"The candidates for Senate are Democrat Catherine Cortez Masto and Republican Joe Heck. If the election was today, who would you vote for?",1
Suffolk,2016-08-15,2016-08-17,2016-08-18T16:12:44Z,500,Likely Voters,Live Phone,37.0,37.0,9.0,0.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-25206,http://i2.cdn.turner.com/cnn/2016/images/08/18/for.posting.final.nevada.marginals.pdf,Nonpartisan,None,"Nevada’s ballot for U.S. Senate includes six candidates: Democrat Catherine Cortez Masto, Tony Gumina - No Party, Republican Joe Heck, Tom Jones - Independent American Party, Tom Sawyer - No Party, Jarrod Williams - No Party, or None of these candidates. At this point, for whom will you vote or lean?",1
CBS/YouGov,2016-08-02,2016-08-05,2016-08-07T15:06:47Z,993,Likely Voters,Internet,38.0,35.0,4.0,-3.0,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25080,https://today.yougov.com/news/2016/08/07/cbs-battleground-tracker-arizona-nevada-virginia/,Nonpartisan,None," In the U.S. Senate election in Nevada in November, are you planning to vote for...",1
Rasmussen/KTNV,2016-07-29,2016-07-31,2016-08-01T19:54:21Z,750,Likely Voters,IVR/Online,42.0,41.0,6.0,-1.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-ktnv-25035,http://www.ktnv.com/news/political/new-ktnvrasmussen-poll-shows-post-dnc-narrow-lead-for-hillary-clinton-over-donald-trump?mc_cid=36c3591d7c&mc_eid=dcfe8daff0,Nonpartisan,None,,1
Rasmussen/KTNV,2016-07-22,2016-07-24,2016-07-26T15:56:44Z,750,Likely Voters,IVR/Online,46.0,37.0,5.0,-9.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-ktnv-24968,http://www.ktnv.com/news/political/exclusive-ktnvrasmussen-poll-shows-trump-heck-with-post-gop-convention-leads-in-nevada,Nonpartisan,None,,1
Monmouth University,2016-07-07,2016-07-10,2016-07-11T16:49:55Z,408,Likely Voters,Live Phone,42.0,40.0,6.0,-2.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24854,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_NV_071116/,Nonpartisan,None,,1
GQR (D-Democracy Corps/Women's Voices Women Vote),2016-06-11,2016-06-20,2016-07-09T02:23:16Z,300,Likely Voters,Live Phone,46.0,41.0,0.0,-5.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24846,http://big.assets.huffingtonpost.com/Dcorps_WV_BG_2016.pdf,Sponsor,Dem,,1
Gravis Marketing,2016-05-24,2016-05-25,2016-07-19T19:00:36Z,1637,Registered Voters,Automated Phone,43.0,45.0,12.0,2.0,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-24933,http://www.realclearpolitics.com/docs/2016/Gravis_Nevada_May_2016.pdf,Nonpartisan,None,,1
